SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1283.40,1301.80,1275.00,1285.40,1285.40,1280.40,438,5787,7450376.00,
500003,AEGIS LOGIS ,A ,Q,250.75,258.00,242.55,254.45,253.50,248.50,575,23423,5940726.00,
500008,AMAR RAJA BA,A ,Q,777.75,800.00,769.90,785.95,785.95,769.50,552,14547,11353062.00,
500009,A.SARABHAI  ,X ,Q,10.08,10.43,9.60,9.82,10.29,10.08,46,11846,118405.00,
500010,HDFC        ,A ,Q,1770.25,1869.85,1770.25,1832.60,1832.60,1785.15,2670,1087019,1941101966.00,
500012,ANDHRA PETRO,X ,Q,51.00,53.90,49.65,52.20,52.20,51.35,359,95596,4947873.00,
500013,ANSAL INFRAS,B ,Q,20.35,20.85,19.55,19.55,19.55,20.55,182,847289,16572941.00,
500014,APPLE FINANC,XT,Q,2.67,2.68,2.67,2.67,2.67,2.81,24,17460,46620.00,
500020,BOM DYEING  ,A ,Q,241.00,245.75,233.85,237.20,237.20,239.30,3813,534228,128191903.00,
500023,ASIANHOTNR  ,T ,Q,304.85,304.85,285.10,296.05,296.05,291.15,15,750,221379.00,
500024,ASSAMCO     ,B ,Q,4.00,4.13,3.95,4.10,4.02,4.00,112,170915,686051.00,
500027,ATUL LTD.   ,A ,Q,2590.75,2658.95,2590.75,2609.90,2609.90,2595.55,115,838,2200689.00,
500028,ATV PROJECTS,XT,Q,9.75,9.75,9.47,9.47,9.47,9.96,26,8939,86139.00,
500029,AUTOLITE(I) ,B ,Q,60.20,61.70,59.00,60.95,61.00,60.60,43,4914,298507.00,
500031,BAJAJ ELECT.,A ,Q,554.95,565.70,531.40,561.80,561.80,531.20,1285,56997,31287417.00,
500032,BAJAJHIND   ,A ,Q,9.23,9.40,8.55,8.77,8.77,9.25,1863,2346581,21020629.00,
500033,FORCE MOTR  ,B ,Q,2751.15,2797.00,2725.00,2741.80,2741.80,2761.40,2937,37653,103753119.00,
